Player,Age,Pos,Squad,Comp,Min,Gls,Ast,current_GA90,elite_prob,Tkl,PrgC,SCA,GCA,Touches
Tom Bischof,19.0,"MF,FW",Hoffenheim,de Bundesliga,2559,5,2,0.246189917936694,0.5499659259986952,95,47,117,7,1951
Facundo Buonanotte,19.0,"FW,MF",Leicester City,eng Premier League,1523,5,2,0.41365725541694026,0.5499659259986952,53,39,51,5,874
Jamie Gittens,19.0,"FW,MF",Dortmund,de Bundesliga,1776,8,3,0.5574324324324325,0.5499659259986952,31,113,73,10,873
Malick Fofana,19.0,FW,Lyon,fr Ligue 1,1589,5,4,0.5097545626179988,0.5499659259986952,22,112,55,11,828
Paul Wanner,18.0,"MF,FW",Heidenheim,de Bundesliga,1771,3,2,0.2540937323546019,0.5499659259986952,40,28,51,7,935
Matias Fernandez-Pardo,19.0,"FW,MF",Lille,fr Ligue 1,1065,4,2,0.5070422535211268,0.5499659259986952,12,46,30,6,429
Patrick Dorgu,19.0,"DF,FW",Lecce,it Serie A,1840,3,1,0.1956521739130435,0.5499659259986952,45,68,58,7,1011
Bahereba Guirassy,17.0,"FW,MF",Nantes,fr Ligue 1,348,2,0,0.5172413793103449,0.5377686165816548,12,15,10,2,192
Bazoumana Touré,18.0,"FW,MF",Hoffenheim,de Bundesliga,609,0,3,0.4433497536945813,0.5359559244054753,12,24,25,4,291
Nelson Weiper,19.0,"FW,MF",Mainz 05,de Bundesliga,704,3,2,0.6392045454545455,0.5359559244054753,5,12,16,2,311
Tom Rothe,19.0,"DF,MF",Union Berlin,de Bundesliga,1670,3,3,0.32335329341317365,0.5359559244054753,45,25,35,7,1074
Umut Tohumcu,19.0,"MF,FW",Hoffenheim,de Bundesliga,375,0,1,0.24,0.5198750329070259,9,3,6,1,169
Jeff Ekhator,17.0,"FW,MF",Genoa,it Serie A,769,1,1,0.2340702210663199,0.5179930404455517,7,4,21,2,254
Mikey Moore,16.0,FW,Tottenham,eng Premier League,366,0,1,0.24590163934426232,0.4860285252312432,2,12,12,2,142
Kevin Zeroli,19.0,MF,Monza,it Serie A,395,0,1,0.22784810126582278,0.44935428601099453,6,2,2,1,146
Mohamed Meité,16.0,FW,Rennes,fr Ligue 1,544,2,0,0.33088235294117646,0.4356902271760832,2,8,13,1,155
Mohamed Haj,19.0,MF,Parma,it Serie A,453,1,2,0.5960264900662252,0.41536179498666004,3,6,20,2,207
Aljoscha Kemlein,19.0,MF,Union Berlin,de Bundesliga,922,1,0,0.09761388286334058,0.41536179498666004,10,5,21,2,549
Othmane Maamma,18.0,"FW,MF",Montpellier,fr Ligue 1,361,1,1,0.4986149584487535,0.40790694858217186,3,8,4,1,149
Iker Bravo,19.0,"FW,MF",Udinese,it Serie A,682,2,1,0.3958944281524927,0.3950252098958085,10,7,14,0,294
Archie Gray,18.0,"DF,MF",Tottenham,eng Premier League,1751,0,0,0.0,0.38854975043413037,16,7,6,0,1286
Kacper Urbanski,19.0,MF,Monza,it Serie A,500,0,0,0.0,0.38854975043413037,5,10,7,0,304
Eybi Nije,19.0,"FW,MF",Torino,it Serie A,394,1,0,0.22842639593908629,0.3883495932135081,5,10,9,1,167
Hafiz Ibrahim,18.0,FW,Reims,fr Ligue 1,391,0,1,0.23017902813299235,0.3829882255777842,3,6,4,1,109
Mathis Amougou,18.0,MF,Saint-Étienne,fr Ligue 1,859,0,0,0.0,0.38100459133910747,21,8,17,0,407
Rabby Nzingoula,18.0,MF,Montpellier,fr Ligue 1,1689,1,0,0.05328596802841919,0.38100459133910747,64,25,35,0,850
Oliver Scarles,18.0,"DF,FW",West Ham,eng Premier League,665,0,0,0.0,0.38100459133910747,21,12,6,0,466
Jeremy Agbonifo,18.0,"FW,MF",Lens,fr Ligue 1,300,1,0,0.3,0.37523796174221424,7,13,8,0,131
Jhon Solis,19.0,MF,Girona,es La Liga,535,1,0,0.16822429906542055,0.36998447414679103,13,9,6,0,364
Sidiki Cherif,17.0,FW,Angers,fr Ligue 1,324,0,0,0.0,0.3275219888079939,5,8,4,0,107
Orri Steinn Óskarsson,19.0,FW,Real Sociedad,es La Liga,944,3,0,0.2860169491525424,0.3071063430948705,6,6,10,0,285
Junior Ndiaye,19.0,FW,Montpellier,fr Ligue 1,441,0,0,0.0,0.2884934003167037,3,5,9,0,124
Lewis Miley,18.0,MF,Newcastle Utd,eng Premier League,313,1,0,0.28753993610223644,0.27569001464590864,14,2,4,0,235
Marc Domenech,18.0,"FW,MF",Mallorca,es La Liga,303,0,0,0.0,0.235425109505941,4,1,7,0,84
Marius Courcoul,17.0,"MF,DF",Angers,fr Ligue 1,309,0,0,0.0,0.2042545457294895,5,5,3,0,191
