Player,Age,Squad,Pos,Min,Gls,Ast,current_GA90,elite_prob
Iker Bravo,19.0,Udinese,"FW,MF",682,2,1,0.3958944281524927,0.3950252098958085
Archie Gray,18.0,Tottenham,"DF,MF",1751,0,0,0.0,0.38854975043413037
Kacper Urbanski,19.0,Monza,MF,500,0,0,0.0,0.38854975043413037
Eybi Nije,19.0,Torino,"FW,MF",394,1,0,0.22842639593908629,0.3883495932135081
Hafiz Ibrahim,18.0,Reims,FW,391,0,1,0.23017902813299235,0.3829882255777842
Mathis Amougou,18.0,Saint-Étienne,MF,859,0,0,0.0,0.38100459133910747
Rabby Nzingoula,18.0,Montpellier,MF,1689,1,0,0.05328596802841919,0.38100459133910747
Oliver Scarles,18.0,West Ham,"DF,FW",665,0,0,0.0,0.38100459133910747
Jeremy Agbonifo,18.0,Lens,"FW,MF",300,1,0,0.3,0.37523796174221424
Jhon Solis,19.0,Girona,MF,535,1,0,0.16822429906542055,0.36998447414679103
Sidiki Cherif,17.0,Angers,FW,324,0,0,0.0,0.3275219888079939
Orri Steinn Óskarsson,19.0,Real Sociedad,FW,944,3,0,0.2860169491525424,0.3071063430948705
Junior Ndiaye,19.0,Montpellier,FW,441,0,0,0.0,0.2884934003167037
Lewis Miley,18.0,Newcastle Utd,MF,313,1,0,0.28753993610223644,0.27569001464590864
Marc Domenech,18.0,Mallorca,"FW,MF",303,0,0,0.0,0.235425109505941
Marius Courcoul,17.0,Angers,"MF,DF",309,0,0,0.0,0.2042545457294895
